AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h,has_outliers
56.0,37.0,41.0,61.0,68.0,5.0,8.0,48.0,36.0,30.0,116.0,83.0,104.0,0.57,0.57,False
66.0,34.0,37.0,82.0,80.0,12.0,31.0,45.0,39.0,38.0,92.0,61.0,83.0,0.94,1.16,True
79.0,46.0,31.0,108.0,88.0,23.0,23.0,52.0,40.0,8.0,78.0,25.0,67.0,0.78,0.67,False
75.0,55.0,77.0,91.0,101.0,30.0,47.0,55.0,52.0,5.0,63.0,28.0,50.0,0.8,1.32,True
223.0,173.0,142.0,203.0,175.0,24.0,21.0,62.0,50.0,28.0,110.0,56.0,90.0,1.78,1.62,True
61.0,29.0,46.0,71.0,88.0,16.0,16.0,35.0,39.0,23.0,59.0,34.0,46.0,0.57,0.83,False
79.0,39.0,38.0,107.0,109.0,15.0,19.0,57.0,49.0,3.0,71.0,18.0,45.0,0.63,0.73,False
124.0,35.0,25.0,198.0,82.0,87.0,22.0,53.0,28.0,21.0,84.0,38.0,79.0,1.95,0.73,True
49.0,25.0,57.0,49.0,81.0,8.0,12.0,15.0,27.0,53.0,66.0,55.0,55.0,0.27,0.53,False
26.0,18.0,18.0,26.0,26.0,4.0,7.0,5.0,9.0,58.0,70.0,57.0,64.0,0.2,0.2,False
32.0,15.0,21.0,32.0,54.0,6.0,8.0,19.0,13.0,60.0,78.0,65.0,74.0,0.35,0.4,False
46.0,22.0,25.0,46.0,56.0,21.0,19.0,57.0,34.0,7.0,78.0,37.0,73.0,0.7,0.6,False
29.0,17.0,40.0,29.0,49.0,5.0,10.0,10.0,21.0,47.0,58.0,42.0,49.0,0.43,0.67,False
17.0,6.0,11.0,17.0,36.0,8.0,9.0,9.0,7.0,50.0,71.0,55.0,67.0,0.45,0.45,False
39.0,27.0,22.0,38.0,41.0,7.0,6.0,16.0,11.0,72.0,98.0,64.0,93.0,0.5,0.25,False
23.0,5.0,60.0,23.0,105.0,7.0,32.0,6.0,33.0,61.0,67.0,62.0,62.0,0.32,1.1,True
37.0,16.0,30.0,37.0,59.0,11.0,13.0,12.0,18.0,51.0,57.0,47.0,53.0,0.53,0.75,False
44.0,8.0,35.0,44.0,79.0,5.0,9.0,9.0,21.0,61.0,64.0,54.0,55.0,0.3,0.68,False
26.0,5.0,55.0,26.0,118.0,8.0,17.0,8.0,32.0,64.0,71.0,63.0,63.0,0.57,1.27,False
64.0,38.0,36.0,77.0,71.0,8.0,14.0,25.0,30.0,43.0,60.0,42.0,54.0,0.53,0.68,False
53.0,37.0,53.0,56.0,73.0,15.0,23.0,16.0,28.0,51.0,68.0,50.0,52.0,0.75,1.1,False
38.0,24.0,42.0,38.0,70.0,12.0,31.0,7.0,33.0,60.0,64.0,50.0,50.0,0.55,1.15,True
74.0,47.0,44.0,98.0,107.0,16.0,27.0,20.0,44.0,50.0,54.0,23.0,40.0,0.75,0.95,True
63.0,45.0,47.0,70.0,80.0,4.0,13.0,17.0,22.0,49.0,58.0,48.0,50.0,0.2,0.15,False
43.0,23.0,47.0,43.0,66.0,10.0,12.0,10.0,23.0,46.0,56.0,35.0,51.0,0.4,0.35,False
60.0,43.0,36.0,58.0,48.0,19.0,18.0,31.0,29.0,32.0,72.0,32.0,57.0,0.97,0.77,False
38.0,20.0,29.0,38.0,36.0,5.0,12.0,22.0,25.0,60.0,71.0,53.0,65.0,0.33,0.42,False
51.0,29.0,24.0,51.0,51.0,9.0,9.0,23.0,26.0,47.0,72.0,36.0,62.0,0.43,0.57,False
73.0,53.0,27.0,66.0,38.0,12.0,10.0,34.0,17.0,31.0,72.0,42.0,64.0,0.87,0.63,False
37.0,26.0,31.0,32.0,43.0,8.0,7.0,13.0,18.0,48.0,52.0,42.0,46.0,0.5,0.67,False
55.0,39.0,25.0,42.0,29.0,10.0,10.0,16.0,19.0,57.0,69.0,51.0,64.0,0.42,0.53,False
40.0,28.0,33.0,35.0,43.0,15.0,16.0,26.0,29.0,55.0,68.0,50.0,58.0,0.9,0.8,False
