ÀÆ÷ ¿‡±,ÀÆŒ¬(°Ê),pH(Œﬁ¡ø∏Ÿ),»‹Ω‚—ı(mg/L),µÁµº¬ (¶ÃS/cm),◊«∂»(NTU),∏ﬂ√ÃÀ·—Œ÷∏ ˝(mg/L),∞±µ™(mg/L),◊‹¡◊(mg/L),◊‹µ™(mg/L)
¢Ú,2.2,7.23,9.77,431.1,2.5,0.97,0.042,0.029,7.57
¢Ú,1.6,8.56,17.55,472,4,2.21,0.025,0.024,7.42
¢Ú,0.2,6.98,10.01,438.8,13.6,1.24,0.246,0.05,8.64
¢Û,0.7,7.38,9.12,662.1,7.4,3.16,0.715,0.121,7.83
¢Ú,1.4,6.82,9.86,266.2,2.8,0.55,0.071,0.061,7.45
¢Ò,1.1,8.22,12.9,899,2.3,1.32,0.025,0.01,12.61
¢Ú,0.8,8.15,13.39,943.2,3.5,1.94,0.053,0.038,11.17
¢Ù,1,7.99,11.54,1036.4,4,2.45,1.239,0.043,23.84
¢Ò,5.7,7.66,10.13,497,2.5,0.25,0.025,0.008,4.67
¢Ò,3.8,7.13,9.29,892.9,2.9,0.41,0.025,0.016,13.87
¢Ú,0.9,7.72,11.33,702.8,3.2,1.53,0.108,0.058,13.42
¢Ò,2.6,8.29,12.44,492.2,3.9,1.23,0.077,0.013,10.39
¢Ò,1.9,7.72,13.74,819.9,0.5,1.53,0.044,0.017,15.45
¢Ò,4.6,8.05,12.01,674.6,1.6,1.06,0.025,0.015,11.65
¢Ú,2.7,8.11,13.41,271.8,21.5,3.29,0.025,0.059,2.89
¢Û,0.8,7.5,10.43,894.3,40.7,4.22,0.588,0.126,9.79
¢Û,3,7.52,7.55,625.4,7.4,1.57,0.62,0.094,8.22
¢Ú,7,7.47,8.69,257.1,9.3,3.31,0.115,0.036,3.06
¢Ú,2.5,7.98,12.24,333.1,3.5,3.06,0.062,0.026,2
¢Û,4.7,7.14,5.32,559.5,10.4,2.88,0.713,0.086,4.78
¢Ú,2.9,7.13,10.99,233.2,4.2,3.08,0.068,0.038,2.87
¢Û,5.9,7.25,8.35,107.6,2.9,4.45,0.025,0.028,1.54
¢Û,1.9,7.27,10.74,113.4,0.8,4.92,0.025,0.035,1.65
¢Ú,1.4,7.22,9.71,430.1,6.2,1.73,0.29,0.047,5.91
¢Ú,4.1,7.92,10.72,227.7,3.2,2.88,0.025,0.028,2.62
¢Û,8.1,7.29,10.36,178.3,8,3.84,0.025,0.035,2.74
¢Ú,2.8,7.41,11.51,218.1,8.2,2.56,0.198,0.048,3.1
¢Û,0.1,6.78,9.62,381.3,16.1,3.74,0.302,0.193,5.55
¢Ú,0.2,7.8,12.03,233.3,4.1,3.42,0.099,0.04,2.95
¢Ú,0.3,6.46,8.96,226.1,2.5,1.02,0.302,0.033,3.56
¢Ú,4,7.39,7.91,386.8,6,1.09,0.16,0.056,4.94
¢Ú,4.1,7.68,11.83,619,23.4,2.81,0.326,0.06,7.72
¢Ú,1,7.29,6.03,987.3,17.8,2.04,0.445,0.071,12.69
¢Û,1.2,7.57,9.88,1034.5,18.7,4.13,0.466,0.169,12.5
¢Û,4.1,7.3,7.17,1043,8.9,4.13,0.747,0.063,7.82
¢Ú,17.2,6.88,8.38,90.5,44.1,2.76,0.037,*,*
¢Ò,1.6,7.38,10.22,387,2.1,1.44,0.12,0.018,3.76
¢Ú,2,6.89,9.59,426.2,5.8,1.52,0.372,0.028,5.72
¢Ò,5.5,7.06,8.71,131.5,3.2,1.99,0.025,0.018,1.43
¢Ú,2.5,7.51,11.86,120.3,2.9,1.47,0.025,0.08,1.83
¢Ú,7.3,8.83,12.14,77.1,6,2.44,0.025,*,*
¢Ò,7,7.99,10.29,262.6,1.2,0.25,0.025,0.018,1.24
¢Ú,1,7.46,12.88,258,11.7,3.49,0.085,0.045,2.85
¢Û,2.4,6.94,10.36,226.2,31.7,3.22,0.252,0.199,3.05
¢Ù,4.2,8.11,12.52,615.5,6.9,6.04,0.1,0.067,0.91
¢Ú,1.8,7.19,11.64,251.4,6.9,2.21,0.095,0.048,2.54
¢Ú,1.9,6.77,9.2,202.4,5.4,2.46,0.134,0.054,2.33
¢Û,2.1,7.39,9.95,102.6,4.7,1.25,0.025,0.145,0.96
¢Ú,0.1,6.9,10.08,282.8,2.4,1.41,0.049,0.038,3.16
¢Û,4.2,7.48,10.68,415.1,3.6,2.68,0.504,0.079,4.46
¢Ú,2.1,7,9.5,220.6,22.4,3.29,0.138,0.053,2.6
¢Û,1.7,7.44,14.3,336.8,3.7,2.27,0.51,0.068,3.43
¢Û,9.6,6.96,11.4,103.2,4.2,2.49,0.25,0.111,1.68
¢Ú,1.2,8.1,8.78,144.8,6.6,0.72,0.025,0.098,0.91
¢Ú,2.8,7.46,11.11,374.8,8.1,3.32,0.149,0.049,3.44
¢Ú,2.3,7.25,7.2,304.6,10,2.99,0.217,0.08,2.57
¢Û,3.5,7.18,10.68,71,0.9,4.12,0.03,0.021,1.5
¢Ú,0.6,7.49,10.96,344.6,14.5,3.22,0.147,0.047,3.69
¢ı,0.5,7.02,6.59,529,12.6,2.44,1.527,0.145,6.33
¢Ú,1.7,7.1,7.75,626.2,16.5,3.35,0.393,0.081,4.05
¢Ú,3.2,7.65,10.53,351.2,14.3,3.3,0.152,0.049,2.55
¢Û,2.8,6.86,5.94,159.9,4.5,2.03,0.025,0.114,1.42
¢Ú,1.2,6.55,8.31,178.1,47.6,3.59,0.037,0.076,1.36
¢Û,7.2,7.03,10.17,277.3,8.6,5.12,0.025,0.046,0.62
¢Ú,1.6,6.74,7.02,453.7,39.1,3.51,0.305,0.087,2.75
¢Ú,5.2,7.54,10.37,491.6,21.7,3.96,0.17,0.052,2.26
¢ı,21.1,7.61,6.32,94.3,46.1,10.05,0.856,*,*
¢Ù,0.7,6.48,4.84,164.1,11,4.19,0.07,0.035,1.71
¢Ú,3.1,6.31,7.4,174,7.1,1.73,0.368,0.057,3.07
¢Ú,1.7,7.2,11.8,317.4,8.8,3.07,0.162,0.053,2.93
¢Ú,2.4,6.41,9.15,187.4,2.6,2.65,0.128,0.034,2.38
¢Ú,2.9,7.48,11.25,362.5,7.5,3.51,0.168,0.049,3.13
¢Ú,2.4,7.5,10.61,347.6,17.4,3.3,0.12,0.037,3.1
¢Ú,1,6.87,10.45,175.1,3.6,2.76,0.089,0.057,3.37
¢Ù,4,7.4,10.69,134.8,7.4,3.62,0.025,0.058,1.78
¢Û,1.4,7.2,9.02,241.1,9.7,4.51,0.364,0.078,3.54
¢Ú,0.2,6.84,13.23,138.7,1,1.87,0.133,0.054,2.75
¢Ú,8.7,6.99,9.27,310,13.7,4,0.025,0.013,0.87
¢Û,7.8,7.27,7.12,291.6,2.7,4,0.025,0.014,0.69
¢Ú,0.7,6.62,7.45,87.5,0.7,3.46,0.025,0.007,0.33
¢Ú,2.6,6.65,9.29,82.5,5.7,3.49,0.025,0.005,0.4
¢Û,9.5,7.77,10.21,741.6,271,4.24,0.414,0.091,4.16
¢Û,16.5,8.46,9.58,1.3,65.5,4.37,0.253,0.091,5.26
¢Ú,7.2,7.59,10.07,563.5,39.6,3.16,0.307,0.083,2.35
